Message_Size RTT(N) 1/To
10000000 0.4284 32491207.0665
13000000 0.6621 34206750.0999
16000000 0.8791 37218735.7921
20000000 0.8902 37709020.2602
23000000 0.8342 36629877.7067
25000000 0.8965 37056219.9034
50000000 0.8541 69773178.9590
100000000 2.1292 94178168.0393
250000000 2.0789 130154827.0644
500000000 5.4979 100782770.5369
3000000000 185.9488 17071364.1010
4000000000 436.8333 10436289.6209
5000000000 302.0302 17114558.1306
