File_Size RTT(N) 1/To
10000000 0.1561 94443592.6992
13000000 0.1635 114833107.7012
16000000 0.1674 137546941.0077
20000000 0.1713 165749887.3240
23000000 0.1723 188303346.0670
25000000 0.1737 202451400.3295
50000000 0.2044 324684804.8651
100000000 0.2626 471516691.2956
250000000 0.4546 635354241.0506
500000000 0.7729 715903273.4927
3000000000 4.2200 739406991.8319
