File_Size RTT(N) 1/To
10000000 0.5637 21567382.0328
13000000 0.6236 27628969.4994
16000000 0.6319 31305800.2051
20000000 0.6536 36671255.7153
23000000 1.1100 45686810.8190
25000000 0.7898 43733588.8797
50000000 0.4680 158628664.1727
100000000 1.7973 148927283.7684
250000000 1.1380 251004558.4458
500000000 2.0700 346332826.5354
3000000000 6.0113 501230584.3046
