File_Size RTT(N) 1/To
10000000 0.4214 29642086.0125
13000000 0.6507 31288772.5895
16000000 0.8641 34096814.3154
20000000 0.8757 34538115.8762
23000000 0.8205 33556624.8212
25000000 0.8823 33945602.3021
50000000 0.8410 63995861.0848
100000000 2.0974 86318432.2792
250000000 2.0495 119292362.0492
500000000 5.4222 92463636.1295
3000000000 183.3257 15605645.6903
